rt,coherent_direction,coherence,age,gender,resp_confidence,rt_confidence,sat_CB,direction,coherence_level,trial,phase,sub,coh,cor,cj
1.60296499999822,180,0.2,20,V,72,1807.63499997556,accuracy,left,0.2,13,training_3,7627,0.2,0,72
0.733585000009043,0,0.2,20,V,73,782.439999980852,accuracy,right,0.2,14,training_3,7627,0.2,1,73
0.874790000001667,0,0.2,20,V,86,714.530000026571,accuracy,right,0.2,15,training_3,7627,0.2,0,86
1.2797900000005,180,0.2,20,V,72,727.545000001555,accuracy,left,0.2,16,training_3,7627,0.2,1,72
0.615455000021029,180,0.2,20,V,81,810.084999975516,accuracy,left,0.2,17,training_3,7627,0.2,0,81
0.565200000011828,180,0.2,20,V,67,646.024999994552,accuracy,left,0.2,18,training_3,7627,0.2,1,67
0.723924999998417,0,0.2,20,V,50,2561.07999998494,accuracy,right,0.2,19,training_3,7627,0.2,0,50
1.24683000001824,0,0.2,20,V,70,473.050000000512,accuracy,right,0.2,20,training_3,7627,0.2,1,70
0.713725000008708,180,0.2,20,V,74,1263.01500000409,accuracy,left,0.2,21,training_3,7627,0.2,0,74
0.638139999995474,0,0.2,20,V,69,998.104999976931,accuracy,right,0.2,22,training_3,7627,0.2,1,69
0.904424999986077,180,0.2,20,V,73,991.605000017444,accuracy,left,0.2,23,training_3,7627,0.2,0,73
0.771744999976363,0,0.2,20,V,75,623.10000002617,accuracy,right,0.2,24,training_3,7627,0.2,1,75
0.756759999989299,0,0.2,20,V,72,1158.12000000733,accuracy,right,0.2,1,training_3,7627,0.2,1,72
0.903555000026245,0,0.2,20,V,67,1094.53000000212,accuracy,right,0.2,2,training_3,7627,0.2,1,67
0.939305000007153,180,0.2,20,V,71,687.405000004219,accuracy,left,0.2,3,training_3,7627,0.2,0,71
0.815880000009201,0,0.2,20,V,70,685.979999980191,accuracy,right,0.2,4,training_3,7627,0.2,0,70
0.670889999979408,0,0.2,20,V,76,1064.66000000364,accuracy,right,0.2,5,training_3,7627,0.2,0,76
0.446074999985285,180,0.2,20,V,73,694.519999990007,accuracy,left,0.2,6,training_3,7627,0.2,1,73
0.759279999998398,180,0.2,20,V,77,741.160000005038,accuracy,left,0.2,7,training_3,7627,0.2,0,77
0.645394999999553,180,0.2,20,V,71,1117.91500000982,accuracy,left,0.2,8,training_3,7627,0.2,1,71
0.643925000011222,0,0.2,20,V,72,604.380000004312,accuracy,right,0.2,9,training_3,7627,0.2,1,72
0.561005000025034,0,0.2,20,V,73,1286.72999999253,accuracy,right,0.2,10,training_3,7627,0.2,1,73
0.574744999990799,180,0.2,20,V,74,743.314999999711,accuracy,left,0.2,11,training_3,7627,0.2,1,74
0.603320000023814,180,0.2,20,V,78,461.584999982733,accuracy,left,0.2,12,training_3,7627,0.2,0,78
0.680525000003399,0,0.2,20,V,83,607.514999981504,accuracy,right,0.2,13,training_3,7627,0.2,0,83
0.531224999984261,180,0.2,20,V,73,706.005000014557,accuracy,left,0.2,14,training_3,7627,0.2,1,73
0.596790000010515,0,0.2,20,V,78,1138.56999998097,accuracy,right,0.2,15,training_3,7627,0.2,0,78
0.563740000012331,0,0.2,20,V,79,798.305000003893,accuracy,right,0.2,16,training_3,7627,0.2,0,79
0.633600000001024,180,0.2,20,V,82,656.725000008009,accuracy,left,0.2,17,training_3,7627,0.2,0,82
0.626179999992019,0,0.2,20,V,73,757.390000013402,accuracy,right,0.2,18,training_3,7627,0.2,0,73
0.608039999991888,180,0.2,20,V,47,718.114999996033,accuracy,left,0.2,19,training_3,7627,0.2,0,47
0.70564000000013,180,0.2,20,V,28,736.414999992121,accuracy,left,0.2,20,training_3,7627,0.2,0,28
1.01316000000224,0,0.2,20,V,58,2840.45999997761,accuracy,right,0.2,21,training_3,7627,0.2,0,58
0.657340000005206,180,0.2,20,V,70,915.949999995064,accuracy,left,0.2,22,training_3,7627,0.2,0,70
0.538159999996424,0,0.2,20,V,68,607.03499999363,accuracy,right,0.2,23,training_3,7627,0.2,0,68
0.982675000006566,180,0.2,20,V,71,533.96500000963,accuracy,left,0.2,24,training_3,7627,0.2,0,71
0.852090000000317,0,0.2,20,V,50,1683.52000002051,accuracy,right,0.2,1,training_3,7627,0.2,1,50
0.617189999989932,0,0.2,20,V,70,501.779999991413,accuracy,right,0.2,2,training_3,7627,0.2,1,70
1.09032499999739,180,0.2,20,V,63,637.095000012778,accuracy,left,0.2,3,training_3,7627,0.2,1,63
0.660059999994701,0,0.2,20,V,74,679.830000008224,accuracy,right,0.2,4,training_3,7627,0.2,0,74
0.751445000001695,180,0.2,20,V,70,693.335000018124,accuracy,left,0.2,5,training_3,7627,0.2,0,70
0.584919999993872,180,0.2,20,V,68,675.004999997327,accuracy,left,0.2,6,training_3,7627,0.2,1,68
0.670254999975441,180,0.2,20,V,71,967.769999988377,accuracy,left,0.2,7,training_3,7627,0.2,0,71
0.656809999985853,180,0.2,20,V,68,842.940000002272,accuracy,left,0.2,8,training_3,7627,0.2,1,68
1.54433499998413,0,0.2,20,V,66,630.750000011176,accuracy,right,0.2,9,training_3,7627,0.2,1,66
0.808000000019092,180,0.2,20,V,69,650.155000010272,accuracy,left,0.2,10,training_3,7627,0.2,0,69
0.717340000002878,0,0.2,20,V,48,1127.50999999116,accuracy,right,0.2,11,training_3,7627,0.2,0,48
0.971395000000484,0,0.2,20,V,82,999.515000003157,accuracy,right,0.2,12,training_3,7627,0.2,0,82
1.29271000000881,180,0.2,20,V,40,1485.16000001109,accuracy,left,0.2,13,training_3,7627,0.2,1,40
3.29245499998797,0,0.2,20,V,50,1215.65500000725,accuracy,right,0.2,14,training_3,7627,0.2,1,50
0.581774999998743,0,0.2,20,V,61,469.960000016727,accuracy,right,0.2,15,training_3,7627,0.2,0,61
0.829220000014175,180,0.2,20,V,70,758.535000000848,accuracy,left,0.2,16,training_3,7627,0.2,0,70
0.639289999991888,0,0.2,20,V,77,701.785000012023,accuracy,right,0.2,17,training_3,7627,0.2,0,77
0.697550000011688,0,0.2,20,V,76,926.539999985835,accuracy,right,0.2,18,training_3,7627,0.2,1,76
0.630729999975301,180,0.2,20,V,74,840.475000004517,accuracy,left,0.2,19,training_3,7627,0.2,1,74
0.587720000010449,180,0.2,20,V,84,734.42000002251,accuracy,left,0.2,20,training_3,7627,0.2,1,84
0.557484999997541,0,0.2,20,V,77,983.180000010179,accuracy,right,0.2,21,training_3,7627,0.2,0,77
0.692499999975553,180,0.2,20,V,75,734.314999979688,accuracy,left,0.2,22,training_3,7627,0.2,1,75
1.67491000000155,180,0.2,20,V,76,729.634999996051,accuracy,left,0.2,23,training_3,7627,0.2,1,76
0.830219999974361,0,0.2,20,V,83,1060.02499998431,accuracy,right,0.2,24,training_3,7627,0.2,0,83
1.02190500000142,180,0.2,20,V,35,2102.39000001457,accuracy,left,0.2,1,training_3,7627,0.2,0,35
0.666285000013886,0,0.2,20,V,44,2232.91000002064,accuracy,right,0.2,2,training_3,7627,0.2,1,44
1.68914500001119,180,0.2,20,V,40,1183.02999998559,accuracy,left,0.2,3,training_3,7627,0.2,0,40
1.18269499999587,0,0.2,20,V,57,1839.34499998577,accuracy,right,0.2,4,training_3,7627,0.2,1,57
0.623269999981858,0,0.2,20,V,39,870.464999985415,accuracy,right,0.2,5,training_3,7627,0.2,0,39
0.622840000025462,180,0.2,20,V,79,954.185000009602,accuracy,left,0.2,6,training_3,7627,0.2,1,79
1.22017999997479,180,0.2,20,V,100,1278.96999998484,accuracy,left,0.2,7,training_3,7627,0.2,1,100
